id,power_plant,code_cwape,operator,location,nominal_power,lat,lon,brand,type,state
Dour - Quiévrain3,Dour - Quiévrain,160,Enairgie du Hainaut,DOUR 1 (Elouge / Quiévrain),2,50.402672,3.714613,Enercon,E82,En fonction
Dour - Quiévrain4,Dour - Quiévrain,7905,Engie Electrabel,DOUR 1 (Elouge / Quiévrain),2,50.410424,3.726339,Enercon,E82,En fonction
Dour - Quiévrain5,Dour - Quiévrain,7905,Engie Electrabel,DOUR 1 (Elouge / Quiévrain),2,50.409303,3.731771,Enercon,E82,En fonction
Dour - Quiévrain6,Dour - Quiévrain,7905,Engie Electrabel,DOUR 1 (Elouge / Quiévrain),2,50.407586,3.736647,Enercon,E82,En fonction
Dour - Quiévrain7,Dour - Quiévrain,160,Enairgie du Hainaut,DOUR 2 (Elouge / Quiévrain),2,50.40357,3.733915,Enercon,E82,En fonction
Dour - Quiévrain8,Dour - Quiévrain,160,Enairgie du Hainaut,DOUR 2 (Elouge / Quiévrain),2,50.412426,3.740607,Enercon,E82,En fonction
Dour - Quiévrain9,Dour - Quiévrain,7905,Engie Electrabel,DOUR 2 (Elouge / Quiévrain),2,50.412674,3.72182,Enercon,E82,En fonction
Estaimpuis,Estaimpuis,0,e-NosVents,Estaimpuis,2.2,50.69315,3.29592,Vestas,V100,En fonction
Estaimpuis1,Estaimpuis,0,e-NosVents,Estaimpuis,2.2,50.692622,3.303108,Vestas,V100,En fonction
Estaimpuis2,Estaimpuis,0,e-NosVents,Estaimpuis,2.2,50.689743,3.296945,Vestas,V100,En fonction
Estaimpuis3,Estaimpuis,0,IPALLE,Estaimpuis,2.2,50.679436,3.283,Vestas,V100,En fonction
Estaimpuis4,Estaimpuis,0,IPALLE,Estaimpuis,2.2,50.675712,3.287628,Vestas,V100,En fonction
Estinnes,Estinnes,798,Windvision Windfarm Estinnes,ESTINNES - Levant de Mons,7.5,50.421026,4.072935,Enercon,E 126,En fonction
Estinnes1,Estinnes,798,Windvision Windfarm Estinnes,ESTINNES - Levant de Mons,7.5,50.420874,4.080662,Enercon,E 126,En fonction
Estinnes10,Estinnes,798,Windvision Windfarm Estinnes,ESTINNES - Levant de Mons,6,50.403516,4.077911,Enercon,E 126,En fonction
Estinnes2,Estinnes,798,Windvision Windfarm Estinnes,ESTINNES - Levant de Mons,7.5,50.420028,4.087661,Enercon,E 126,En fonction
Estinnes3,Estinnes,798,Windvision Windfarm Estinnes,ESTINNES - Levant de Mons,7.5,50.416916,4.065433,Enercon,E 126,En fonction
Estinnes4,Estinnes,798,Windvision Windfarm Estinnes,ESTINNES - Levant de Mons,7.5,50.416227,4.073542,Enercon,E 126,En fonction
